ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
E3922,A,2011,110,,B,1888488,,1490349,61392,53803.2,7.96,,F,0
E1828,A,1985,130,1,C,15001,3,645316,10305,1795.2,8.45,620347,,1
E2903,C,1998,130,2,B,19999,33,264982,8438,16368,4.94,270979,,0
E3187,A,2004,130,1,C,14408,6,772409,8146,633.6,17.73,823784,,0
E3518,E,1996,130,1,C,15400,3,853138,7999,105.6,6.85,830863,,0
E2364,A,1998,123,,B,104095,,658061,7765,4118.4,0.91,,M,1
E4729,A,2002,130,1,C,19090,6,599283,7763,2376,16.06,606942,,0
E4683,A,1997,130,1,B,10208,31,651026,7531,2270.4,13.54,564607,,0
E3378,C,1995,130,1,C,20517,6,641103,7415,633.6,17.8,693408,,0
E1129,E,1994,123,,B,45159,,914502,7050,5068.8,0.19,,M,1
E1130,E,1994,123,,B,45159,,914502,7050,5068.8,0.19,,M,1
E1131,E,1994,123,,B,45159,,914502,7050,5068.8,0.19,,M,1
E3248,A,2005,136,80,C,12800,9,1079694,7050,52.8,24.7,1110753,M,0
E3345,C,2001,130,1,C,21212,6,694699,6982,2956.8,19.07,707789,,0
E3460,C,1983,135,100,C,11000,9,309539,6868,211.2,22.24,293390,M,0
E2673,C,1989,130,1000,B,411911,42,441491,6861,58713.6,8.77,373218,,0
E1148,B,1993,146,45520,C,45520,38,1182160,6798,16948.8,24.9,1502424,,1
E1875,C,1976,130,,C,17544,,311904,6675,633.6,3.38,,,1
E1924,E,1998,140,,B,20444,,992664,6577,46886.4,7.83,,M,1
E3135,A,1989,130,1,C,26117,6,640098,6519,2692.8,18.41,618218,,0
E4674,A,1986,130,35000,C,33267,6,590507,6452,3062.4,18.64,627691,,0
E1512,A,1984,123,,C,73168,,2367455,6301,264,0.46,,F,1
E1513,A,1984,123,,C,73168,,2367455,6301,264,0.46,,F,1
E1514,A,1984,123,,C,73168,,2367455,6301,264,0.46,,F,1
E1515,A,1984,123,,C,73168,,2367455,6301,264,0.46,,F,1
E3439,E,1995,130,224,C,96682,5,819272,6281,158.4,7.11,1004066,,0
E1997,C,1991,140,43584,C,43584,4,901630,6270,35006.4,6.6,901630,M,1
E1831,A,1994,140,,B,217800,,585056,6202,50212.8,4.83,,F,1
E4004,B,1976,146,231,C,100624,39,443016,6151,61670.4,31.97,466856,,0
E3421,E,1996,146,38768,C,38768,37,1364539,6135,12619.2,22.22,1446844,,0
E2266,A,1999,140,23754,C,23754,7,902030,6133,77404.8,1.06,861470,M,1
E3221,A,1996,130,200,C,74571,5,243596,6076,3748.8,2.13,251016,,0
E3077,C,2000,130,1,C,14185,6,508499,5927,1795.2,16.38,523656,,0
E2391,A,1998,130,1,B,11805,33,303593,5742,10771.2,6.99,311693,,1
E2392,A,1998,130,1,B,11805,33,303593,5742,10771.2,6.99,311693,,1
E3863,C,1988,130,1,B,16781,33,155190,5713,14942.4,5.74,171991,,0
E3111,A,1988,130,1,C,14451,6,577116,5698,158.4,19.03,748161,,0
E1384,A,1984,146,23400,C,23400,28,580065,5654,32102.4,16.38,642988,,1
E3505,C,1986,130,1,C,27449,6,510708,5652,950.4,19.43,528498,,0
